Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Year
Josh Talks,Media,Pre-Series A,1500000,Haryana,Community of young individuals providing a platform to showcase their stories,2020-01-01
PhoneParLoan,Fintech,Series A,0,Delhi,Provides easy loans,2020-01-01
RailYatri,Travel,Series A,13800000,Noida,A complete Indian railways app,2020-01-01
AjnaLens,Deeptech,Pre-Series A,1500000,Thane,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence",2020-01-01
Pepper,Content Marktplace,Seed Funding,306900,Mumbai,End to end content creation platform,2020-01-01
Rupeek,Fintech,Series A,30000000,Bangalore,An asset backed online lending platform,2020-01-01
iMerit,It Startup,Series B,20000000,Kolkata,Turns information into data that is usable for machine learning processes,2020-01-01
BharatPe,Fintech,Series C,75000000,Delhi,Digital payments platform,2020-01-01
Invideo,Visual Media,Series A,2500000,Bangalore,Video production and editing platform,2020-01-01
AvalonMeta,Edtech,Series A,420000,Bangalore,It combines higher education and competitive gaming,2020-01-01
Near Store,E-Commerce,Seed,300000,Mumbai,Enables a shop to create an online presence,2020-01-01
ElecTorq,Automobile,Series A,0,Delhi,Electric vehicle startup,2020-01-01
Prayaan Capital,Fintech,Seed,1200000,Chennai,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)",2020-01-01
Sanfe,Hygiene,Pre-Series A,1100000,Delhi,Women health care and wellness product,2020-01-01
Go Desi,Foodtech,Seed,627300,Delhi,Provides traditional delicacies,2020-01-01
Swiggy,Foodtech,Series A,113000000,Bangalore,Platform to order food online from restaurants and getting it delievered,2020-01-01
Whatfix,Saas,Series C,32000000,Banglore,"Digital adoption platform that helps companies provide intuitive onboarding, training and support",2020-01-01
Unacademy,Edtech,Series E,110000000,Bangalore,Platform that offers online education in India,2020-01-01
Zvesta,Proptech,Series A,5500000,Gurugram,An online platform where users can search and buy properties listed by developers and brokers,2020-01-01
Dunzo,Logistics,Series A,11000000,Bangalore,India-based hyperlocal delivery startup,2020-01-01
Digit Insurance,Insuretech,Series A,340000,Bangalore,General Insurance Company,2020-01-01
Yolo,Logistics & Supply Chain,Seed Funding,600000,Gurugram,Intercity transportation,2020-01-01
SmartVizX,Vr & Saas,Pre-Series A,1397000,Bangalore,It developed India’s first VR-based design communication and collaboration product Trezi,2020-01-01
MaxWholesale,E-Commerce,Series A,3000000,Delhi,B2B ecommerce platform for kirana stores,2020-01-01
Carbon Clean,Cleantech,Series A,16000000,Bangalore,Develops affordable carbon capture technology,2020-01-01
Onsitego,Sales & Services,Series B,19000000,Bangalore,It offers post-purchase services through a network of brand authorised service centres throughout the country,2020-01-01
Genius Corner,Edtech,Series A,250000,Noida,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,2020-01-01
PlanetSpark,Edtech,Series A,448500,Gurugram,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,2020-01-01
CamCom,Ai & Deep Learning,Series A,0,Bangalore,AI automation platform for enterprise quality control,2020-01-01
Simsim,Social Commerce,Series B,8000000,Bangalore,It enables community opinion influencers to sell products to thousands of micro-communities in India,2020-01-01
Shuttl,Logistics & Supply Chain,Series C,7975700,Delhi,App based bus aggregator serice,2020-01-01
HooLiv,Housing & Rentals,Series A,0,Delhi,Student Co-living startup,2020-01-01
ClassMonitor,Edtech,Series A,0,Indore,The learning platform that blends curriculum-based activities for children,2020-01-01
Friyey,Co-Working,Series A,0,Pune,Co working space startup,2020-01-01
Oga,Fitness,Series A,330000,Bangalore,Provides interactive fitness experience to people across the world,2020-01-01
Big Basket,Estore,Series A,3500000,Bangalore,Online grocery store,2020-01-01
CYFIRMA,Saas,Series A,0,Bangalore,Offer cybersecurity services,2020-01-01
Innoviti,Fintech,Series A,5000000,Bangalore,Digital payments solutions company,2020-01-01
Paytm money,Fintech,Series A,5600000,Bangalore,Wealth Management,2020-01-01
Vedantu,Edtech,Series C,24000000,Bangalore,Onine learning platform,2020-01-01
Yap,Fintech,Series A,1402000,Chennai,Banking and payment products-focused API platform,2020-01-01
Clover,Agritech,Series A,5500000,Bangalore,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,2020-01-01
Nova Credit,Fintech,Series B,50000000,Bangalore,Cross-border consumer credit startup,2020-01-01
CodingNinjas,Edtech,Series A,5200000,Delhi,Online learning platform,2020-01-01
Furlenco,E-Commerce,Series C,2200000,Bangalore,Furniture rental startup,2020-01-01
Brick&Bolt,Fintech,Pre-Series A,1500000,Bangalore,Operates in the residential construction space,2020-01-01
HempStreet,Healthtech,Pre-Series A,1000000,Bangalore,Manufacturer of ayurvedic medicines based on cannabis,2020-01-01
MoEngage,Marketing,Series C,25000000,Bangalore,Customer analytics and cross-channel engagement platform,2020-01-01
Classplus,Edtech,Pre-Series A,2500000,Bangalore,It allows coaching centres to take their brick-and-mortar setup online,2020-01-01
Chaayos,Beverages,Series A,21500000,Bangalore,Provides customised range of tea,2020-01-01
PetPooja,Saas,Series A,2000000,Ahmedabad,Restaurant management software provider,2020-01-01
Altor,Tech,Series A,0,Bangalore,Makes helmets that are IoT and AI enabled,2020-01-01
Pepperfry,E-Market,Series F,40000000,Mumbai,Online home furniture marketplace,2020-01-01
FirstCry,E-Market,Series E,296000000,Pune,Baby products marketplace,2020-01-01
Byju,Edtech,Series A,200000000,Bangalore,Provides online learning classes,2020-01-01
Waycool,Agritech,Series C,32000000,Chennai,Food development and distribution services,2020-01-01
WorkIndia,Hr Tech,Series A,6000000,Bangalore,An online and mobile-based platform that connects companies with blue collar employees.,2020-01-01
Qyuki,Media,Series A,3500000,Mumbai,Multi-channel broadcast network,2020-01-01
Leap India,Agritech,Series B,30000000,Coimbatore,Agricultural warehousing and logistics company,2020-01-01
Picxy,Media,Series A,250000,Hyderabad,Stock photo industry,2020-01-01
Krimanshi,Agritech,Series A,20000,Jodhpur,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,2020-01-01
NEETprep,Edtech,Series A,0,Delhi,Provides crash course for NEET preparation,2020-01-01
Dot Pvt. Ltd,Fintech,Seed,8000000,Gurugram,It provides digital transformation and commerce solutions to brick and mortar outlets,2020-01-01
Kuku FM,Media,Series A,5500000,Mumbai,A podcast platform,2020-01-01
SuperMoney,Fintech,Pre-Series A,1000000,Mumbai,Provides financial tools for effective business making,2020-01-01
Rebel Foods,Food Tech,Series A,4900000,Bangalore,It runs internet kitchen,2020-01-01
AlphaVector,E Tailor,Series A,0,Bangalore,It sells modern age bicycles named FROG,2020-01-01
Fox Capital,Fintech,Series A,2500000,Jaipur,Digital lending startup,2020-01-01
Tribe Theory,Accomodation,Series A,3500000,Bangalore,An entrepreneur-focused hostel chain present in multiple locations across the world.,2020-01-01
Fleetx,Saas,Series A,1402400,Bangalore,Fleet management and predictive analytics platform,2020-01-01
Embibe,Edtech,Series A,12618300,Mumbai,It provides AI-based data analytics to personalise learning outcomes,2020-01-01
Entri,Edtech,Seed,1400000,Kochi,It is a app that provides different types of learning content in local languages,2020-01-01
Oye! Rickshaw,E-Mobility,Series A,10000000,Bangalore,App-based electric rickshaw hailing service,2020-01-01
Seal Professional,Edtech,Pre-Series A,0,Bangalore,Trains students in managemnt and leadership skills and also helps in placement,2020-01-01
Sprinng Foods,Food Industry,Series A,0,Mumbai,Provides Gluten-free food,2020-01-01
1MG,Healthtech,Series A,9900000,Gurugram,Online pharmacy,2020-01-01
Aagey,Fintech,Series A,0,Bangalore,Provides financial assistance to MSMEs,2020-01-01
Doubtnut,Edtech,Series A,15000000,Gurugram,Multi-lingual digital solutions platform for students,2020-01-01
AdonMo,Ad-Tech,Series A,3000000,Bangalore,It is an online and outdoor advertising company,2020-01-01
RACEnergy,E-Mobility,Seed,0,Bangalore,It builds electric vehicles and supporting infrastructure,2020-01-01
BharatPe,Fintech,Series A,100000000,Delhi,Digital payments platform,2020-01-01
Kisan Network,Agritech,Seed,3000000,Gurugram,Integrated supply chain for farmers to sell their produce directly to buyers,2020-01-01
Vogo,Automotive,Series C,35000000,Bangalore,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,2020-01-01
Yolo,Logistics & Supply Chain,Seed,600000,Gurugram,Intercity transportation startup,2020-01-01
Unotech,Saas,Series A,2000000,Mumbai,It develops fully-customisable open source software,2020-01-01
Zetwerk,Marketplace,Series A,2200000,Bangalore,B2B marketplace that connects manufacturing companies for industrial equipements,2020-01-01
CureSkin,Healthtech,Series A,500000,Bangalore,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,2020-01-01
WizKlub,Edtech,Seed Funding,982530,Bangalore,Helps students solve problems at complex level,2020-01-01
Interviewbit,Edtech,Series A,200000000,Pune,Platform that provides coding and interview preparation course by industry professionals from tech companies,2020-01-01
MoneyTap,Fintech,Series B,70185200,Bangalore,App-based consumer credit line that gives customers access to credit on tap.,2020-01-01
Uniplatform Tech,Saas,Series A,0,Delhi,Runs real estate SaaS platform MultiplyMyLeads.com.,2020-01-01
INdwealth,Fintech,Series C,12000000,Gurugram,An Artificial Intelligence and Machine learning based wealth management platform,2020-01-01
Bizongo,Marketplace,Series C,30000000,Mumbai,A B2B marketplace for packaging materials,2020-01-01
AppsFlyer,Saas,Series D,210000000,Bangalore,Mobile marketing analytics and attribution platform,2020-01-01
Digit Insurance,Insuretech,Series A,84000000,Bangalore,General Insurance Company,2020-01-01
Livspace,Interior Design,Series D,60000000,Bangalore,It offers end-to-end home design experience for homeowners and home designers,2020-01-01
GetVantage,Fintech,Seed,0,Mumbai,Revenue based finance provider,2020-01-01
Konfinity,Edtech,Series A,0,Noida,Provides online coding courses,2020-01-01
Pine Labs,Fintech,Series A,0,Noida,Retail payment and hardware company,2020-01-01
Instoried,Saas,Series A,0,Delhi,Augmented writing platform which improves customer interest and engagement.,2020-01-01
Nupay,Neo-Banking,Series A,0,Haryana,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts",2020-01-01
LogiNext,Transport Automation,Series B,39000000,Bangalore,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",2020-01-01
Samosa Singh,Food Industry,Series A,2700000,Bangalore,Offers hygienic Indian Snacks,2020-01-01
Crysta,Healthtech,Pre-Series A,1403400,Delhi,Offers diagnostic and screening services with regular counselling and clinical data management,2020-01-01
Eupheus Learning,Edtech,Series A,4300000,New Delhi,"Provides technology-led, subscription-based learning solutions to schools",2020-01-01
Bounce,Automotive And Rentals,Series D,105000000,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020-01-01
Park+,Techonology,Series A,11000000,Bangalore,It is engaged in bringing digitization in parking,2020-01-01
Goodmylk,Dairy,Seed,400000,Bangalore,Provides Vegan dairy products,2020-01-01
SmartKarrot,Saas,Series A,1000000,Bangalore,It tracks customers’ real-time digital behaviour,2020-01-01
Skylo,Iot,Series B,103000000,Bangalore,Provides affordable and ever present network that connects machines or sensors,2020-01-01
Tea Trunk,Food Industry,Series A,220000,Goa,Global premium tea brand,2020-01-01
Zoomcar,Transport & Rentals,Series D,30000000,Bangalore,A car rental service platform,2020-01-01
Mera Cashier,Fintech,Seed,250000,Noida,App meant for small and micro businessmen to manage their transactions digitally,2020-01-01
Samya AI,Saas,Seed,6000000,Bangalore,Revenue growth AI startup in the consumer packed goods (CPG) space,2020-01-01
Kristal AI,Ai,Series A,6000000,Bangalore,Provides Algorithm-based financial services,2020-01-01
Invento Robotics,Ai,Seed,281300,Bangalore,Known for Mitra Series of Robots,2020-01-01
Zimyo,Hr Tech,Series A,0,Gurugram,Automates everyday HR processes with integrated solutions,2020-01-01
Sabse Sasta Dukaan,Pharmaceutical,Series A,0,Kolkata,Online pharmacy dealing in medicines,2020-01-01
Fitphilia,Healthtech,Series A,0,Mumbai,Provides IoT-enabled treadmill,2020-01-01
Medicus,Healthtech,Series A,12700,Mumbai,AI-based platform that explains and interprets blood tests and medical reports,2020-01-01
Monech,Fintech,Seed,12700,Mumbai,Automated platform which will help users to take their financial decisions,2020-01-01
Teach Us,Edtech,Seed,12700,Bangalore,Educational portal which enables the students to access information related to education at one common platform,2020-01-01
Dealberg,B2B,Series A,0,Bangalore,Deals in office supplies,2020-01-01
Phenom People,Hr Tech,Series C,30000000,Bangalore,It redefines the means to search for a job and recruit top talent,2020-01-01
Extra Edge,Edtech,Pre-Series A,700000,Pune,Admission Marketing Automation software for the education industry,2020-01-01
Capital Quotient,Fintech,Series A,600000,Bangalore,Investment advisor,2020-01-01
Karfa,E-Commerce,Seed,25000,Delhi,It sells products crafted by artisans,2020-01-01
Gamerji,Games,Series A,400000,Bangalore,Esports tournament platform,2020-01-01
Bounce,Automotive And Rentals,Series D,97500000,Bangalore,Offers a variety of bikes and scooters that can be rented on a subscription basis,2020-01-01
Zinier,Automation,Series C,90000000,Bangalore,Provides intelligent field service automation,2020-01-01
ProEves,Preschool Daycare,Seed,507000,Delhi,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers",2020-01-01
Toddle,Fintech,Series A,0,Bengaluru,Collaboration and productivity platform for teachers across the world,2020-01-01
Aesthetic Nutrition,Food Industry,Pre-Series A,0,Bangalore,Markets and sells chewable dietary supplements,2020-01-01
Capital Float,Fintech,Series A,15000000,Bangalore,Digital lending,2020-01-01
Ninjacart,B2B,Series C,10000000,Bangalore,Online grocery delivery platform,2020-01-01
TechnifyBiz,B2B,Seed,2000000,Bangalore,Online marketplace for non-perishable food items,2020-01-01
Wysh,E-Connect,Series A,2000000,Hyderabad,Celebrity engagement and wishing platform,2020-01-01
Keito,Ai,Seed,160000,Pune,Enterprise productivity startup,2020-01-01
Klub,Fintech,Pre-Seed,2000000,Bangalore,Provides growth financing to high-affinity brands,2020-01-01
Aadhar,E-Commerce,Seed,0,Mumbai,Ayurveda wellness and lifestyle consumer brand,2020-01-01
IncubateHub,Tech Hub,Series A,0,Bengaluru,Provides platform for Corporates to connect establish brand presence among innovation community,2020-01-01
Rage Coffee,Fmcg,Series A,0,Delhi,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,2020-01-01
Skilancer,Technology,Series A,0,Noida,Solar module cleaning system [MCS] providers,2020-01-01
Harappa Education,Edtech,Series A,0,New Delhi,Provides online courses on foundational skills,2020-01-01
Rheo,Entertainment,Series A,2000000,Bangalore,Online e-sports streaming and community platform,2020-01-01
Axio Biosolutions,Medtech,Series B,5200000,Bangalore,Medical device manufacturer,2020-01-01
Techbooze,Consultancy,Series A,15000000,Bangalore,"Business Development, Consulting and Funding facilitator for Startups Enterprise",2020-01-01
PayMart,Fintech,Series A,0,Chandigarh,Provides cardless cash withdrawals through small merchants shops,2020-01-01
Testbook,Edtech,Series B,8400000,Bangalore,Helps students prepare online for competitive exams,2020-01-01
FabAlley,E-Commerce,Series A,1100000,Noida,Online fashion store,2020-01-01
HaikuJAM,Fintech,Series A,3400000,Bangalore,Creative writing mobile platform,2020-01-01
Mamaearth,E-Commerce,Series A,18300000,Bangalore,Online baby and mother care brand,2020-01-01
Rentomojo,Rental,Series A,2000000,Bangalore,"Furniture, electronics, and appliance-centric consumer leasing platform",2020-01-01
Zomato,Foodtech,Series A,150000000,Bangalore,Online food delivery and restaurant discovery platform,2020-01-01
Generico,Pharmacy,Series A,1400000,Mumbai,Generic medicine focussed retail chain,2020-01-01
HighRadius,Saas,Series B,125000000,Hyderabad,"An AI-based platform, to automate accounts receivables and treasury processes.",2020-01-01
Chai Kings,Food Industry,Series A,1000000,Chennai,It offers a range of tea in various flavour,2020-01-01
Rivigo,Logistics,Series F,3400000,Gurugram,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2020-01-01
BuildPan,Saas,Seed,0,Indore,"It helps developers to test, integrate and deploy apps",2020-01-01
Shiksha,Edtech,Series A,181000,Bangalore,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,2020-01-01
Super Surfaces,Deisgning,Series A,500000,Hyderabad,A design solution based company,2020-01-01
Quicko,Taxation,Series A,280000,Ahmedabad,Online tax planning and filing platform,2020-01-01
Satin Creditcare,Fintech,Series A,15000000,Gurgaon,A micro finance company,2020-01-01
XpressBees,Logistics,Series A,10000000,Bangalore,Provides end to end supply chain solutions,2020-01-01
FarmERP,Agritech,Series A,0,Pune,Smart agriculture management ERP software platform,2020-01-01
Wealth Bucket,Fintech,Series A,3000000,Bangalore,An online platform for mutual fund investments,2020-01-01
GoMechanic,Automobile Technology,Series B,14700000,Delhi,Find automobile repair and maintenance service providers,2020-01-01
Fashor,Fashion,Pre-Series A,1000000,Chennai,Women’s fashion and apparel,2020-01-01
Leverage Edu,Edtech,Series A,1500000,Delhi,AI enabled marketplace that provides career guidance,2020-01-01
EpiFi,Fintech,Seed,13200000,Bangalore,It offers customers with a single interface for all their financial and banking mandates,2020-01-01
Purplle,Cosmetics,Series A,8000000,Mumbai,Online makeup and beauty products retailer,2020-01-01
Shuttl,Logistics & Supply Chain,Series C,8043000,Delhi,App based bus aggregator serice,2020-01-01
Pando,Logitech,Series A,9000000,Chennai,Networked logistics management software,2020-01-01
Unbox Robotics,Ai,Pre-Series A,1200000,Bangalore,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",2021-01-01
upGrad,Edtech,Seed,120000000,Mumbai,UpGrad is an online higher education platform.,2021-01-01
Lead School,Edtech,Series D,30000000,Mumbai,LEAD School offers technology based school transformation system that assures excellent learning for every child.,2021-01-01
Bizongo,B2B E-Commerce,Series C,51000000,Mumbai,Bizongo is a business-to-business online marketplace for packaging products.,2021-01-01
FypMoney,Fintech,Seed,2000000,Gurugram,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",2021-01-01
Urban Company,Home Services,Seed,188000000,New Delhi,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",2021-01-01
Comofi Medtech,Healthtech,Seed,200000,Bangalore,Comofi Medtech is a healthcare robotics startup.,2021-01-01
Qube Health,Healthtech,Pre-Series A,3000000,Mumbai,India's Most Respected Workplace Healthcare Management Company,2021-01-01
Vitra.ai,Tech,Seed,3000000,Bangalore,Vitra.ai is an AI-based video translation platform,2021-01-01
Taikee,E-Commerce,Seed,1000000,Mumbai,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",2021-01-01
Fitterfly,Healthtech,Pre-Series A,3000000,Mumbai,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",2021-01-01
FreeStand,B2B Service,Seed,100000,New Delhi,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,2021-01-01
MyDentalPlan,Helathcare,Seed,700000,Bangalore,My Dental Plan provides dental care packages and services.,2021-01-01
Freyr Energy,Renewable Energy,Seed,2000000,Hyderabad,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",2021-01-01
DealShare,E-Commerce,Seed,9000000,Jaipur,DealShare is a Social Commerce Startup,2021-01-01
Tessolve,Electronics,Seed,40000000,Bangalore,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.",2021-01-01
Smart Joules,Renewable Energy,Seed,49000000,New Delhi,Smart Joules is an energy management company.,2021-01-01
ORAI,It Startup,Pre-Series A,400000,Bangalore,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,2021-01-01
ixamBee,Edtech,Seed,300000,New Delhi,ixamBee is to provide best online learning experience for preparation of competitive exams.,2021-01-01
CoinSwitch Kuber,Fintech,Series B,25000000,Bangalore,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,2021-01-01
Razorpay,Fintech,Series E,160000000,Bangalore,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",2021-01-01
Uable,Edtech,Seed,3000000,Bangalore,Uable offers role based programmes to empower children to explore different domains.,2021-01-01
ZFW Hospitality,Food & Beverages,Pre-Seed,150000,New Delhi,Creating a sustainable and scalable cloud kitchen network.,2021-01-01
Optimized Electrotech,Aeorspace,Pre-Series A,1800000,Ahmadabad,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection",2021-01-01
Northern Arc,Fintech,Seed,5000000,Chennai,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,2021-01-01
Chara,Deep Tech,Seed,850000,Bangalore,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",2021-01-01
Sirona Hygiene,Healthtech,Series A,3000000,New Delhi,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,2021-01-01
Pristyn Care,Healthtech,Series D,53000000,Gurugram,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,2021-01-01
TrulyMadly,Dating,Pre-Series A,2000000,New Delhi,Trulymadly is a dating platform that uses a match making algorithm.,2021-01-01
Vidyakul,Edtech,Seed,500000,Bangalore,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,2021-01-01
Jambox Games,Games,Seed,1100000,Bangalore,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",2021-01-01
Miko,Robotics,Seed,6000000,Mumbai,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.",2021-01-01
SuperK,Retail,Seed,800000,Andhra Pradesh ,SuperK is a full-stack solution to empower small format retail stores in India.,2021-01-01
TagZ Foods,Food Industry,Pre-Series A,500000,Bangalore,TagZ Foods is a supplier of snacks and food products.,2021-01-01
Fuel Buddy,Oil And Energy,Seed,1000000,New Delhi,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,2021-01-01
M1xchange,Fintech,Seed,10000000,Gurugram,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2021-01-01
Spintly,Tech,Seed,500000,Goa,Wireless cloud based access control platform,2021-01-01
EF Polymer,Agritech,Seed,200000,Rajsamand,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,2021-01-01
boAt,Electronics,Seed,6000000,New Delhi,boAt is a consumer electronics and lifestyle company.,2021-01-01
TruNativ,Food & Beverages,Seed,3000000,Mumbai,TruNativ Foods & Beverages Pvt Ltd,2021-01-01
iBus,Telecommuncation,Seed,21000000,Bangalore,iBus Networks is an in-building connectivity solutions company,2021-01-01
Puresh Daily,Milk Startup,Seed,100000,Ranchi,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,2021-01-01
LearnVern,Edtech,Seed,1000000,Ahmadabad,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,2021-01-01
LimeChat,Ai,Seed,7500000,Faridabad,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,2021-01-01
Dybo,It Startup,Seed,100000,Bangalore,Product Visualisation Technology for Commerce,2021-01-01
moEVing,Logistics,Seed,1000000,Gurugram,"Delivering clean, cost-effective and efficient mobility solutions.",2021-01-01
WeWork India,Hospitality,Seed,26000000,Bangalore,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",2021-01-01
Solethreads,Fashion,Series A,1000000,Gurugram,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,2021-01-01
Beldara,E-Commerce,Seed,7400000,Mumbai,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",2021-01-01
CredFlow,Fintech,Seed,2000000,New Delhi,CredFlow provides financial solutions to automate your cashflows.,2021-01-01
Do Your Thng,Marketing,Seed,1500000,Gurugram,World's first shared economy platform for digital assets.,2021-01-01
Oye Rickshaw,Logistics & Supply Chain,Seed,3000000,Gurugram,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,2021-01-01
Legitquest,Legaltech,Seed,600000,New Delhi,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,2021-01-01
Swiggy,Food Industry,Seed,800000000,Bangalore,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,2021-01-01
AntWak,Edtech,Seed,3000000,Bangalore,AntWak provides a video platform for e-learning service.,2021-01-01
PlayShifu,Edtech,Series B,17000000,Bangalore,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,2021-01-01
Pitstop,Automotive,Pre-Series B,3500000,Bangalore,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,2021-01-01
Lendingkart,Fintech,Debt,15000000,Gujarat,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,2021-01-01
CRED,Fintech,Series D,215000000,Bangalore,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,2021-01-01
Karnival,Saas,Seed,2500000,Bangalore,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,2021-01-01
PharmEasy,Healthtech,Series E,350000000,Mumbai,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.",2021-01-01
WESS,Renewable Energy,Seed,2000000,Mumbai,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,2021-01-01
ShopSe,Fintech,Seed,5500000,Mumbai,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,2021-01-01
Fantasy Akhada,Fantasy Sports,Seed,600000,Gurugram,Fantasy Akhada offers fantasy sports platform for cricket and football.,2021-01-01
Rage Coffee,Food & Beverages,Pre-Series A,3000000,New Delhi,Rage Coffee is infused with plant based vitamins. These 100% natural extracts are typically found in foods.,2021-01-01
Groww,Fintech,Series D,83000000,Bangalore,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,2021-01-01
Avanti Finance,Fintech,Series A,26000000,Bangalore,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,2021-01-01
Kudos,Fintech,Pre-Series A,3000000,Pune,"Kudos is a full stack NBFC, a digital lending engine with an in-built API lending protocol layer of over 20+ API’s.",2021-01-01
OfBusiness,Fintech,Seed,110000000,Gurugram,OfBusiness is a financing platform that offers smart financing to SMEs.,2021-01-01
Superpro.ai,Video Communication,Seed,3000000,Bangalore,Enabling independent professionals to bring offline consulting online with AI,2021-01-01
ShareChat,Social Media,Seed,500000000,Bangalore,ShareChat is a social networking and regional content platform.,2021-01-01
WiT-ACE,Skill Development,Seed,1000000,Gurugram,"Offer accelerated career experiences for women by Enabling, Engaging & Employing them to be in decision making roles.",2021-01-01
Spinny,Retail,Series C,65000000,Gurugram,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,2021-01-01
Alteria Capital,Fintech,Debt,150000000000,Mumbai,Alteria Capital is a Venture debt firm .,2021-01-01
Safexpay,Fintech,Seed,6000000,Thane,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,2021-01-01
PumPumPum,Rental,Pre-Series A,700000,Gurugram,Pumpumpum is a car rental company.,2021-01-01
Speciale Invest,Fintech,Seed,10000000,Bangalore,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,2021-01-01
Eunimart,E-Commerce,Pre-Series A,700000,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2021-01-01
Meesho,E-Commerce,Seed,300000000,Bangalore,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,2021-01-01
CareerLabs,Edtech,Seed,2200000,Bangalore,"Aim to help students become future-ready, setting them on a path to success that suits them best.",2021-01-01
Uable,Edtech,Pre-Series A,35000000,Bangalore,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,2021-01-01
Zoko,Tech,Seed,140000000,Bangalore,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",2021-01-01
